document_id	event_type
324083101090070769_226937959	concert
325733993143789545_194641720	concert
331367539746945192_203213469	concert
331843709583757506_53413075	concert
332239622545588107_216157286	concert
332766053221654565_13646399	concert
333013104229771399_205782713	concert
333013665578641546_205782713	concert
333014260062513293_205782713	concert
333518001189282421_13646399	concert
337003817132650031_17597330	concert
341407535289294289_25255982	concert
341675858657179723_254456437	concert
347150641807876555_235840119	concert
348670442958264312_145248364	concert
350663291734874409_204877069	concert
357858255335348242_708349	concert
357868395071233152_25255982	concert
357885018954291628_708349	concert
378986490595664116_296942071	concert
379291433651099385_273922004	concert
383653136149413351_23992462	concert
386519830323229849_146155988	concert
394189385226361089_217057405	concert
394389435224668253_238158821	concert
396299712635329933_196543574	concert
398092637624307162_5374834	concert
401229248378449657_237836546	concert
410866008552267480_318235662	concert
413539725856188865_37592793	concert
417485957190468300_26970847	concert
423693933512707337_11410210	concert
426142520459587868_324993003	concert
426300098713582431_185755605	concert
426378362850502099_343406912	concert
428871007602529125_17091843	concert
430710518639995794_205121001	concert
431380494138208548_12867299	concert
431983167809808977_145564121	concert
433416454944824125_18994837	concert
434449556603230062_217467644	concert
434457152051566499_217467644	concert
436173899395631997_330894481	concert
436335895418729883_14698036	concert
436772711896538256_201757902	concert
437027303188741604_315053470	concert
438759947319650128_355677568	concert
439104790042661832_271612707	concert
439357819250507112_30368550	concert
441109019022294699_202850734	concert
441252103804991043_269173116	concert
441316526978104452_5025638	concert
441368464878569997_343242401	concert
441663490638925618_734786	concert
441700906948097554_195101788	concert
441723372673610541_31128243	concert
441830527855829942_193469423	concert
441967938183537792_361435680	concert
441969116648744101_361435680	concert
442022779706113205_26740222	concert
442070639585068729_3216600	concert
442111888083409573_266468093	concert
442113399071845567_12206930	concert
442116082184200486_101255	concert
442144426159815588_281767861	concert
442180169414419515_41877760	concert
442187056735609337_306380023	concert
442350188799829293_192928944	concert
442412884736117643_199769129	concert
442522011631725414_55611641	concert
442605224779415101_322188422	concert
442611245718205107_26282075	concert
442616028540525857_8640854	concert
442638137010206989_194170557	concert
442651673500570334_182378827	concert
442699614853401277_23060641	concert
442701914540548521_21411223	concert
442794039190924412_19267218	concert
442817614310680138_17969488	concert
442835260199861061_4763773	concert
442843206525044189_29411968	concert
442862682959710030_40511472	concert
442881746464722544_18895562	concert
442895256857218868_19212946	concert
442913730342138881_241068052	concert
442921681357816526_274132479	concert
442948045123735516_335690882	concert
442950383247209976_249286196	concert
442967581076518573_41226308	concert
442968586562741489_287683752	concert
442973411715474624_34023992	concert
442985868680604117_6088689	concert
442999373149002688_11449373	concert
443010757627940450_31461474	concert
443021701785012725_31158025	concert
443036318740321137_15676859	concert
443043162941494511_242279804	concert
443048151113571843_9010294	concert
443048612665247213_206457320	concert
443054593845738849_229534590	concert
443067512955521312_19013761	concert
443092014149255724_104877927	concert
443093328056844977_104952847	concert
443100401810032279_11548600	concert
443112767036252499_104997231	concert
443120081509709848_192688741	concert
443123673797442717_4989302	concert
443131416599671853_182603916	concert
443139642239959527_233876743	concert
443166786098037908_9787048	concert
443171928686061218_24809216	concert
443173333425579698_24809216	concert
443178507590830174_13355641	concert
443190299884589563_191080323	concert
443191073383671277_176217584	concert
443197712581719436_7013260	concert
443200003728416647_16933014	concert
443200216841632444_43123629	concert
443200287093182547_259865659	concert
443200380348908058_198435239	concert
443200497915410595_1175397	concert
443201166034836213_5775741	concert
443201981821906325_261833994	concert
443201998405171203_270193005	concert
443202591855458103_20216260	concert
443202798770241621_352742607	concert
443203397614913036_256360	concert
443203868653818771_218783107	concert
443203898811366829_13903598	concert
443203984935049285_17761493	concert
443204862743157843_11565518	concert
443204937577405811_173640006	concert
443205020364843050_34655265	concert
443205236258749927_211669846	concert
443205436903137729_212552183	concert
443205630950097428_178538823	concert
443207116656766825_5104122	concert
443207483926996896_219312	concert
443207658785332768_267372166	concert
443208173034124248_41279075	concert
443209461071651583_322439391	concert
443209797308865475_357351109	concert
443209841483591790_19521419	concert
443209949502640402_356420387	concert
443210182215391672_200859661	concert
443211009076722294_226385989	concert
443211074275786684_198838726	concert
443211594460650804_225897646	concert
443211736989427980_178495633	concert
443211885921015786_199155868	concert
443212545720994495_275973217	concert
443213032939895424_194518373	concert
443213125892781111_247257124	concert
443213552386972510_258747693	concert
443213687835947218_45840859	concert
443213935359413721_23331650	concert
443214187881405323_386381	concert
443214975069579312_54937553	concert
443215192249667807_319751603	concert
443215219681279624_216657446	concert
443215476606036079_15235953	concert
443215492857420781_2293541	concert
443215773356696749_2539520	concert
443215829832824735_274140252	concert
443215855077485604_40988514	concert
443216302312857426_183770326	concert
443216550082075644_2293541	concert
443217233149646856_2293541	concert
443217439255166019_10761022	concert
443217519420411088_54664642	concert
443217606955632276_345824736	concert
443217813285631921_274140252	concert
443217881678726264_337326008	concert
443218052411768773_16345718	concert
443218232987834387_2293541	concert
443218479930899605_7147782	concert
443218620272354611_33062824	concert
443218670034311194_2293541	concert
443218986642397293_246065469	concert
443219452269942535_248136524	concert
443219918954131290_208977266	concert
443220374186905181_185597066	concert
443220496661441989_178497906	concert
443220527540745560_20573724	concert
443220628074879099_246065469	concert
443220657277595264_197397394	concert
443220664374226787_208977266	concert
443220693793279332_4657466	concert
443221431067832172_208977266	concert
443222903627410280_220175473	concert
443222908494638969_208977266	concert
443222923571379154_226879621	concert
443223091004388148_194496099	concert
443223185889563038_218562691	concert
443223294757072578_5832842	concert
443223759879425659_185597066	concert
443223797469417894_218562691	concert
443224863579052884_201974101	concert
443225354672113690_8792913	concert
443225390013092282_218562691	concert
443225455445292412_20573724	concert
443225820048276170_274849237	concert
443225891341472189_218562691	concert
443225941520566406_281801169	concert
443225946681221128_293807791	concert
443226059624175853_240711557	concert
443226067642943340_227440832	concert
443226165186560750_323951695	concert
443226449494282694_218562691	concert
443227013953976656_212591373	concert
443227362928043772_227230968	concert
443227473146981782_190466962	concert
443227638696267437_185597066	concert
443228090508585425_339063913	concert
443228167990586237_8165425	concert
443228346720162395_204302275	concert
443228348096664535_350838027	concert
443228634842358832_19125984	concert
443228679949933321_45292965	concert
443229514313607542_285047153	concert
443230315318345624_359088838	concert
443230764971762245_309792727	concert
443230954611797516_192581530	concert
443231248784691706_218562691	concert
443231309482339213_8165425	concert
443231613687342102_7660936	concert
443232521874451970_190663722	concert
443232644473362004_211033140	concert
443232713760221084_309395168	concert
443232818990195753_3418368	concert
443232822933962454_10614462	concert
443232916840414782_231405542	concert
443233006985197480_257051324	concert
443233161279126035_197773533	concert
443233856188439996_296785630	concert
443234169452547103_299650562	concert
443234248006988801_238533996	concert
443234913341561454_362799501	concert
443235007307203662_12856040	concert
443235274026145063_7554116	concert
443235588447962114_1139128	concert
443235596070397051_181766384	concert
443235661208031295_22086475	concert
443235855579879598_51930901	concert
443235883009730378_266050024	concert
443236120386755195_362799501	concert
443236293485544784_41164368	concert
443236432677502195_4669158	concert
443237029803621392_333643998	concert
443238052274647580_34534363	concert
443238087295508332_182037822	concert
443238175843195478_48255421	concert
443238255772493308_292753000	concert
443238489133390745_339821253	concert
443238911341409762_25292220	concert
443239906692851056_21133352	concert
443240397133263653_24798787	concert
443240524229631489_42974342	concert
443240645098688369_25112002	concert
443240663379032687_197773533	concert
443240976090579874_197074527	concert
443241002530454134_197773533	concert
443241353485475338_42974342	concert
443241353912862066_277673920	concert
443243230181209250_204350780	concert
443243365107391147_362799501	concert
443243467678798829_35610115	concert
443243483300403030_33862084	concert
443243530232736922_354690202	concert
443243653370705889_180066756	concert
443243969741478576_362799501	concert
443244183179008633_213502341	concert
443244391361350786_734546	concert
443244744789502556_217523881	concert
443245232107038940_177672057	concert
443245392337633099_19091854	concert
443245590880603664_265788218	concert
443245861043298728_238537423	concert
443246329498067527_202693735	concert
443246421636819174_177672057	concert
443246690894273321_21126973	concert
443247041153208948_29637947	concert
443247799996033658_33083881	concert
443248029725222961_286992681	concert
